Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
E. Winchester,Emmanuel Winchester,CB,26,76,1655,8000000,6.072442220594401,0.8306478206844192,1.6034456903485779,0.0015231673336784763,1.7052587944866768e-4
R. Lukaku,Romelu Lukaku,ST,29,86,2034,68000000,7.002970910516065,0.8295380085770397,1.6009038160035935,0.0010247195041654315,1.143017564991761e-4
R. Espinoza,Roger Espinoza,CB,35,68,1936,475000,6.5053789945690195,-0.8286844706408754,-1.5994551191843713,0.001272689067223061,1.4173975174564714e-4
B. Comley,Brandon Comley,CB,26,60,1700,275000,6.267131585473513,-0.827797312393391,-1.5972524053597197,6.593248449439809e-4,7.31821463189906e-5
G. Magnani,Giangiacomo Magnani,CB,26,74,1595,5000000,5.871680636343067,0.8272894548519106,1.5965101977462977,9.56898674991468e-4,1.061444487384777e-4
G. Buckley,Garry Buckley,CB,28,62,1710,350000,6.369692502876005,-0.8256232176860536,-1.593285822796296,9.457921894357729e-4,1.0448795211024312e-4
I. Diop,Issa Diop,CB,25,77,1664,14000000,6.321109945187752,0.8250181215115912,1.5917272045548612,4.5502562091096843e-4,5.01467686152732e-5
A. Disasi,Axel Disasi,CB,24,77,1547,14500000,6.337789725545912,0.8235783066404777,1.589346323353244,9.542974046053037e-4,1.0490776478235603e-4
K. Benzema,Karim Benzema,CF,34,91,2147,64000000,6.983628037693877,0.8225519430814505,1.5985831386149536,0.014926011231316464,0.0016835171008710275
S. Coates,Sebastián Coates,CB,31,82,1803,21000000,6.5009273986594085,0.8212919167552701,1.5848497662937224,8.480538238392838e-4,9.269157086991313e-5
Yeremy Pino,Yeremy Jesús Pino Santos,CAM,19,79,1828,38000000,6.75886414192153,0.8209194661241056,1.5844235994550646,0.0012169921651353703,1.3299380332122874e-4
Fabinho,Fábio Henrique Tavares,CDM,28,87,2165,77000000,7.065826828163586,0.8206639026492623,1.5839015330233104,0.0011806529649884203,1.289329259234609e-4
A. Rüdiger,Antonio Rüdiger,CB,29,87,2011,73500000,7.049610324525537,0.816677020467495,1.5761456174424033,0.0011031679455491676,1.1928500136188328e-4
