Known As,Full Name,best_position,age,overall,total_stats,value_eur,fitted,residual,std_resid,leverage,cooks
M. Halstenberg,Marcel Halstenberg,CB,30,78,2066,11500000,6.548898068149158,0.5117998099694818,1.0810047157980585,0.0031660552106676553,3.4687025925104736e-5
J. Clauss,Jonathan Clauss,RWB,29,80,2095,18500000,6.756146471986134,0.5110252798923137,1.0915636142468796,0.025314684349180352,2.892160676795268e-4
Anderson Talisca,Anderson Souza Conceição,CF,28,82,2152,31000000,6.982157332816093,0.5092043750276394,1.1103941553522398,0.06479316255243057,7.983476691454299e-4
Edgar Badia,Edgar Badia Guardiola,GK,30,80,1257,16000000,6.696271698130445,0.5078483116689366,1.0728735681091301,0.0035656533795683757,3.849494893118786e-5
Adriano Bisesi,Louri Adriano Bisesi Barbosa,ST,30,81,1904,25500000,6.898720872056442,0.5078193254086665,1.0746338797198889,0.006940782957841994,7.543460078986811e-5
A. Modeste,Anthony Modeste,ST,34,79,1878,8500000,6.421759880162079,0.5076590966456765,1.0718348972528757,0.0023773187676273764,2.5585453109386427e-5
D. Livaković,Dominik Livaković,GK,27,80,1319,20500000,6.807153995355109,0.5045998868857968,1.0664231470845087,0.004335720799810993,4.628323745918906e-5
M. Darmian,Matteo Darmian,RWB,32,80,1997,14500000,6.658809166296928,0.5025588658894435,1.084578033810372,0.045161274934020335,5.199648674853325e-4
P. Bočkaj,Petar Bočkaj,LM,25,71,2021,2200000,6.8443654763704025,-0.5019425981415576,-1.065140200917107,0.012419943780133464,1.333451099894703e-4
E. Cavani,Edinson Cavani,ST,35,81,2014,11000000,6.539660908859982,0.5017318157795504,1.0613890728390472,0.0062621924531928875,6.6346809605614e-5
M. Dmitrović,Marko Dmitrović,GK,30,80,1299,16000000,6.702413691090668,0.501706318708713,1.0605888511729675,0.004863212244586154,5.1374875200384746e-5
S. Kalajdžić,Saša Kalajdžić,ST,24,78,1829,20500000,6.810754627711588,0.5009992545292605,1.0581366789033058,0.0030614806933348484,3.2133860845729395e-5
H. Herrera,Héctor Herrera,CM,32,80,2123,16500000,6.717177423284552,0.5003065472502044,1.0584533435697983,0.00641119584428256,6.756036932469826e-5
J. Beauguel,Jean-David Beauguel,ST,30,77,1738,10500000,6.5215185808493,0.49967075958201385,1.0555262192259744,0.0034305384154576625,3.584338241829529e-5
P. Gulácsi,Péter Gulácsi,GK,32,85,1305,26500000,6.92418815054693,0.49905773977835843,1.0554412389659618,0.005714222697898038,5.983155299967786e-5
Marc Bartra,Marc Bartra Aregall,CB,31,81,2044,17500000,6.745210753138716,0.4978273203646989,1.0516215123922084,0.0034105509514418806,3.537067946395548e-5
José Sá,José Pedro Malheiro de Sá,GK,29,81,1337,20000000,6.8071562246739505,0.49387379270481047,1.043542226600407,0.0039304535924254225,4.015959159361847e-5
H. Vanaken,Hans Vanaken,CM,29,80,2009,20500000,6.8179972364155415,0.4937566458252693,1.0511259391776842,0.01871726873062057,1.969581919976986e-4
Fábio Ronaldo,Fábio Ronaldo Costa Conceição,ST,21,61,1571,725000,6.352307984071006,-0.4919693784735515,-1.041580870510344,0.007871538618650038,8.044405134755528e-5
M. Maignan,Mike Maignan,GK,26,87,1496,80000000,7.411440146883302,0.4916498455374011,1.040475444755184,0.007053387819285387,7.187068068022307e-5
N. Kanté,N'Golo Kanté,CDM,31,89,2154,72000000,7.3663784717655725,0.49095403069774424,1.0421336456469596,0.013010392572889464,1.3379530643564804e-4
A. Dixon,Ash Dixon,RWB,26,78,2033,17000000,6.740847947995861,0.48960099892920395,1.0503496666757963,0.033738798785875754,3.60013760683799e-4
Lucas Vázquez,Lucas Vázquez Iglesias,RB,31,81,2152,18500000,6.778466055677511,0.4887056962010038,1.0369045660571532,0.012140949312005751,1.2349559273360804e-4
Manu Trigueros,Manuel Trigueros Muñoz,CM,30,79,2042,17000000,6.743185154450352,0.4872637924746215,1.0316677628828477,0.007966548504483103,7.988032632093425e-5
A. Rüdiger,Antonio Rüdiger,CB,29,87,2011,73500000,7.379586403038008,0.4867009419552633,1.0287888763807072,0.004710073069886388,4.681087702829821e-5
J. Ledesma,Jeremías Conan Ledesma,GK,29,80,1266,17500000,6.757758788740239,0.48527928476293697,1.0251554852429983,0.003489725015630453,3.439577722884774e-5
B. Dost,Bas Dost,ST,33,76,1716,4800000,6.196656789234454,0.4845845386191285,1.0256464268156087,0.007292007187281839,7.221661608024545e-5
J. Vidales,Johnny Vidales,RW,30,65,1588,700000,5.360590782914218,0.4845078775203481,1.0356170733373116,0.02662309722521653,2.741524725841296e-4
M. Sels,Matz Sels,GK,30,79,1246,13000000,6.629885973176959,0.48405741253719536,1.0227833431754796,0.0038970833524350143,3.8248904290550336e-5
A. Laporte,Aymeric Laporte,CB,28,86,1962,64500000,7.326499294682427,0.48306042668636445,1.0203773319370473,0.0033123610755271585,3.233824349242418e-5
S. Mané,Sadio Mané,LM,30,89,2188,99500000,7.515360983105948,0.48246210200514966,1.0260787817343204,0.01679800675169232,1.6810964743535237e-4
J. Omlin,Jonas Omlin,GK,28,79,1358,15000000,6.6937512210554875,0.48234006695321296,1.0189159172021203,0.0034301588559293283,3.3396381149430204e-5
J. Shelvey,Jonjo Shelvey,CM,30,77,1984,10000000,6.518030951335911,0.4819690920934977,1.0245941822684845,0.015960887202942822,1.591346162348707e-4
Portu,Cristian Portugues Manzanera,RM,30,78,2103,13500000,6.6489090571109895,0.48142474355403614,1.0182145599272945,0.0058407343918850715,5.692543011806478e-5
M. Turner,Matt Turner,GK,28,77,1184,9500000,6.496487038263466,0.4812366127406392,1.0167820802742062,0.0038165778404983036,3.701747602323808e-5
Lucas Pérez,Lucas Pérez Martínez,CF,33,78,1959,9000000,6.473704229960223,0.48053832773399136,1.0642044309753806,0.09325807922935495,0.0010886019795703845
Ricardo Batista,Ricardo José Cecília Batista,GK,35,67,1141,110000,5.520946568674929,-0.47954993540294344,-1.0131006780371448,0.003585092354385365,3.451290894833517e-5
M. Icardi,Mauro Icardi,ST,29,77,1829,10500000,6.541824334650564,0.47936500578074637,1.01197773688878,0.0021425779097421615,2.0550683460464132e-5
M. Silvestri,Marco Silvestri,GK,31,79,1232,9500000,6.498461121475213,0.4792625295288951,1.0162536253792962,0.010944891793032875,1.0680987826364494e-4
J. García,Javier García,GK,35,73,1085,350000,6.023237216555445,-0.4791679313655103,-1.0131980992523133,0.005363226292173705,5.1732869078474644e-5
Andrei Girotto,Andrei Girotto,CB,30,78,1977,11500000,6.581621985950848,0.4790758921677834,1.0123896182999443,0.004156660454821276,3.998205524904797e-5
P. Neumann,Phil Neumann,RB,24,70,1717,2200000,6.821456283696071,-0.47903340546718204,-1.0177281242805671,0.014751453730967375,1.449335043909922e-4
K. Bellarabi,Karim Bellarabi,RM,32,79,1965,14000000,6.667158435157453,0.47896963154187505,1.0131970458179065,0.006184234360891631,5.970134418868763e-5
D. Zappacosta,Davide Zappacosta,LWB,30,79,2062,15000000,6.698044107803395,0.47804718020519343,1.0189783675464772,0.021210395685748104,2.1028368219082119e-4
G. Raspadori,Giacomo Raspadori,CAM,22,79,1869,36000000,7.079557321278896,0.47674519155221734,1.008037449044686,0.005288670421771361,5.049158391691518e-5
R. Ghezzal,Rachid Ghezzal,RW,30,79,1901,17000000,6.755018605820221,0.47543034110484583,1.032846827442416,0.057720585236900004,6.107156993054923e-4
Sergio Herrera,Sergio Herrera Pirón,GK,29,78,1234,11000000,6.566858084992626,0.47453463964696746,1.0024347234958833,0.003444726826263477,3.2462489463134406e-5
M. Antonio,Michail Antonio,ST,32,79,2103,14000000,6.671732315023199,0.4743957516760805,1.0028198213241624,0.004792779436805158,4.526223198247107e-5
Jordi Alba,Jordi Alba Ramos,LB,33,85,2218,28000000,6.973253802357894,0.4739042444950111,1.0058442285798634,0.012817392683767193,1.2276649977430415e-4
