best_position,skill,estimate,conf.low,conf.high
CF,Defending,-0.362073212647213,-0.579569850091323,-0.14457657520310296
CM,Defending,0.20323634999592727,0.08905695589936286,0.3174157440924917
LB,Defending,0.8751199397093032,0.7213640426683944,1.028875836750212
LM,Defending,0.006652236976622161,-0.05667164425790899,0.06997611821115332
LW,Defending,0.10723298295278949,-0.022724990286078828,0.2371909561916578
LWB,Defending,0.5166560525263275,0.24997593632395826,0.7833361687286968
RB,Defending,0.8631208880321987,0.7141594255491148,1.0120823505152825
RM,Defending,0.010522711174856097,-0.03802893093681516,0.05907435328652736
RW,Defending,0.04497627061499502,-0.06076258220186007,0.15071512343185012
RWB,Defending,0.4250574965298693,0.18465775117361596,0.6654572418861227
ST,Defending,0.010870480098881271,-0.0405757050307763,0.06231666522853885
GK,Physicality,0.0886677714517442,0.02422705357142453,0.1531084893320639
CAM,Physicality,0.0333285785033381,0.003325994534035096,0.0633311624726411
CB,Physicality,0.17896529383409515,0.14950174131602137,0.20842884635216893
CDM,Physicality,0.10504060960531891,0.05986391894713361,0.15021730026350422
CF,Physicality,0.24979726975200361,0.07156619781577289,0.42802834168823434
CM,Physicality,9.826465286531805e-4,-0.04903205926236503,0.05099735231967139
LB,Physicality,0.02488403559363961,-0.027554433291449652,0.07732250447872888
LM,Physicality,0.04689348233550929,-0.00198365727763488,0.09577062194865346
LW,Physicality,0.0023432577145618555,-0.08922895081004711,0.09391546623917083
LWB,Physicality,0.10798745326953517,0.022802118077683883,0.19317278846138647
RB,Physicality,0.05157964479544241,-0.0014431626066802872,0.1046024521975651
RM,Physicality,0.07201983573657099,0.03339602326961782,0.11064364820352415
RW,Physicality,0.10751949032209698,0.03696043179553812,0.17807854884865584
RWB,Physicality,0.08723403422615857,0.011049512037820924,0.1634185564144962
ST,Physicality,0.12855057805040643,0.10249016880703629,0.15461098729377656
