Row,Distance_Cook,Outlier_Cook,Outlier
341,0.0013460596937286118,0,0
342,7.36383842264686e-5,0,0
343,3.849825953987224e-4,0,0
344,3.514870768005967e-6,0,0
345,7.962991081431519e-4,0,0
346,3.754598220879725e-4,0,0
347,3.0266520279925106e-4,0,0
348,1.1493695148580606e-4,0,0
349,1.2271676827554196e-5,0,0
350,1.9929952640145504e-4,0,0
351,1.754963619058192e-4,0,0
352,4.701365307225289e-4,0,0
353,8.242365103947916e-5,0,0
354,0.003282769724564636,0,0
355,3.063021325290732e-5,0,0
356,3.5102950076373716e-4,0,0
357,4.575701846317426e-4,0,0
358,5.363311500136758e-4,0,0
359,1.5446361814349512e-5,0,0
360,4.908741948132356e-4,0,0
361,0.002330998287458885,0,0
362,0.0010729336386500906,0,0
363,5.39380534119421e-4,0,0
364,6.452163567546081e-5,0,0
365,0.0012224976470390128,0,0
366,1.1619853166435905e-4,0,0
367,1.1631048855921435e-4,0,0
368,3.897727143055475e-4,0,0
369,5.46568923691785e-4,0,0
370,3.452790516933822e-5,0,0
371,0.007053186360475417,0,0
372,0.0031889892234055572,0,0
373,7.465463318410987e-4,0,0
374,2.0111720667091728e-4,0,0
375,4.957926321582957e-4,0,0
376,0.0023019436411846014,0,0
377,4.08041764445669e-4,0,0
378,2.297762472998907e-4,0,0
379,1.9678207850044608e-4,0,0
380,1.4495434205237143e-6,0,0
381,5.85007764446949e-5,0,0
382,2.504603213491114e-6,0,0
383,7.254056497213553e-5,0,0
384,8.98856320766491e-5,0,0
385,6.4897473063092875e-6,0,0
386,7.861261448223341e-4,0,0
387,6.810602164552618e-6,0,0
388,1.785947926359171e-5,0,0
389,4.5365816053534604e-4,0,0
390,7.992864143391129e-5,0,0
391,1.3706952638295489e-5,0,0
392,5.280899750409643e-5,0,0
393,4.890609171319647e-4,0,0
394,4.0175984794459075e-4,0,0
395,2.8406411293829486e-6,0,0
396,3.5516051879777404e-4,0,0
397,2.019517646219758e-4,0,0
398,0.003376185254158933,0,0
399,1.1813484171367679e-4,0,0
400,7.444279958256603e-4,0,0
401,3.052458888623734e-5,0,0
402,1.3096994648084106e-4,0,0
403,2.505495063704508e-4,0,0
404,1.1439667356005886e-4,0,0
405,5.14591924617732e-4,0,0
406,2.019517646219758e-4,0,0
407,3.503865907637676e-6,0,0
408,1.6643753313159003e-4,0,0
409,1.6215539705200372e-4,0,0
410,3.0983838603268198e-6,0,0
411,2.101955305672343e-5,0,0
412,7.801727579040783e-4,0,0
413,9.151340767884027e-4,0,0
414,0.0012996751857101572,0,0
415,8.055928725878494e-5,0,0
416,2.5180413455402927e-4,0,0
417,1.2348459754104557e-4,0,0
418,1.7807121749707234e-5,0,0
419,6.846367562866884e-6,0,0
420,1.0491798195343154e-4,0,0
421,1.3873972857849363e-4,0,0
422,5.957851674219276e-4,0,0
423,5.280899750409643e-5,0,0
424,9.8878600715403e-4,0,0
425,2.0291491022762065e-4,0,0
426,7.992864143391129e-5,0,0
427,5.103091663565908e-5,0,0
428,3.2500509503966214e-8,0,0
429,1.9209523463891036e-4,0,0
430,5.069948818770178e-4,0,0
431,5.781909896052639e-4,0,0
432,3.23611366677788e-4,0,0
433,0.006352532344976286,0,0
434,0.0022868816475156814,0,0
435,2.7527568849972735e-7,0,0
436,4.0718555030466586e-5,0,0
437,1.71143215216721e-4,0,0
438,3.23611366677788e-4,0,0
439,2.9907941964072234e-5,0,0
440,1.4433909097979437e-5,0,0
441,5.296204314575227e-5,0,0
442,3.292496939697724e-9,0,0
443,8.297943664941937e-7,0,0
444,6.230573628664463e-4,0,0
445,8.069677534150674e-5,0,0
446,5.172792711185798e-6,0,0
447,1.9720901586058252e-4,0,0
448,0.002257635358719955,0,0
449,6.044582567479977e-8,0,0
450,2.3950499307334376e-5,0,0
451,2.5173300848260222e-5,0,0
452,0.003397659560644062,0,0
453,3.366384216423308e-7,0,0
454,5.296204314575227e-5,0,0
455,2.7128730184692974e-6,0,0
456,2.9907941964072234e-5,0,0
457,4.942775802199651e-4,0,0
458,2.3992869826394835e-4,0,0
459,1.4495434205237143e-6,0,0
460,4.773483336428201e-7,0,0
461,0.0017103011679922247,0,0
462,9.661052004888712e-7,0,0
463,0.0015323912660911367,0,0
464,4.224942930459765e-4,0,0
465,0.001100466519151687,0,0
466,2.7128730184692974e-6,0,0
467,1.9284154136125925e-4,0,0
468,1.0900571205701987e-6,0,0
469,1.6807611437933255e-4,0,0
470,8.055928725878494e-5,0,0
471,2.7107975468528828e-5,0,0
472,2.3855939383326556e-4,0,0
473,8.556882480845205e-5,0,0
474,1.8771637499681012e-05,0,0
475,9.151340767884027e-4,0,0
476,3.5448960224452373e-6,0,0
477,6.753590979705227e-4,0,0
478,8.217852239983903e-5,0,0
479,7.042243338478113e-4,0,0
480,3.0795721715776354e-4,0,0
481,5.089920992855612e-4,0,0
482,5.073917137634115e-4,0,0
483,1.9602904931146915e-4,0,0
484,2.9907941964072234e-5,0,0
485,0.0037499476198760598,0,0
486,7.444279958256603e-4,0,0
487,2.9907941964072234e-5,0,0
488,2.9907941964072234e-5,0,0
489,1.9602904931146915e-4,0,0
490,4.5407628757250306e-4,0,0
491,0.0021886446078629614,0,0
492,3.772547522652444e-4,0,0
493,1.593597149579529e-4,0,0
494,2.42982481293247e-4,0,0
495,4.564306238359497e-4,0,0
496,3.2500509503966214e-8,0,0
497,7.9152636810674685e-05,0,0
498,7.757483841722103e-5,0,0
499,2.1985475145521876e-4,0,0
500,2.087622453965481e-4,0,0
501,0.0018108868003874322,0,0
502,1.5957303143084383e-4,0,0
503,0.0022868816475156814,0,0
504,7.732559605589486e-5,0,0
505,1.2133077070282267e-5,0,0
506,2.102000897126669e-5,0,0
507,2.787764016683124e-5,0,0
508,4.2734759364004166e-5,0,0
509,2.9907941964072234e-5,0,0
510,5.547415420007622e-4,0,0
511,1.915620093725617e-5,0,0
512,2.03193118357603e-4,0,0
513,0.001038830738402552,0,0
514,2.3724427742361928e-5,0,0
515,0.002434568813645481,0,0
516,0.0021886446078629614,0,0
517,5.1587551280097925e-5,0,0
518,6.434998935849067e-4,0,0
519,5.60626759183666e-4,0,0
520,9.300655368012488e-5,0,0
521,7.480396212045795e-6,0,0
522,0.002408264871760521,0,0
523,1.800941227899301e-4,0,0
524,9.657589593979748e-5,0,0
525,9.993893775057322e-4,0,0
526,3.585331721877319e-4,0,0
527,0.0013259764538274916,0,0
528,1.1657253789247479e-4,0,0
529,1.3316585624093923e-7,0,0
530,0.007908542928640527,0,0
531,2.4249766200843003e-4,0,0
532,1.3237998817886392e-4,0,0
533,3.9508043041857233e-4,0,0
534,8.865893356578124e-5,0,0
535,2.1173387025461043e-4,0,0
536,1.0689933662328366e-5,0,0
537,7.757483841722103e-5,0,0
538,3.857811655106313e-4,0,0
539,1.4747545893804904e-4,0,0
540,0.00199909021571661,0,0
541,1.400211533488616e-4,0,0
542,1.9609987821336456e-4,0,0
543,2.555599282240259e-4,0,0
544,9.265647778336495e-4,0,0
545,1.5456598512699374e-4,0,0
546,5.25996593132303e-4,0,0
547,5.14892340002413e-4,0,0
548,9.007910756508855e-4,0,0
549,3.728895394732888e-6,0,0
550,2.38503214220346e-6,0,0
551,5.587281204464925e-4,0,0
552,4.6560945633648177e-5,0,0
553,1.2829340358089014e-4,0,0
554,3.50492166051315e-4,0,0
555,1.1357531083077446e-4,0,0
556,1.1475100687304061e-5,0,0
557,6.99356917224644e-5,0,0
558,0.0011339977138064671,0,0
559,1.1825529709748027e-7,0,0
560,1.325672292763298e-5,0,0
561,1.4619719215014632e-5,0,0
562,2.889323621070209e-4,0,0
563,4.162530200320896e-5,0,0
564,9.296553225959502e-5,0,0
565,2.771307469234512e-4,0,0
566,4.010482748378102e-5,0,0
567,3.602482902858193e-4,0,0
568,4.004005281285776e-4,0,0
569,6.808312879992189e-5,0,0
570,1.411792338003486e-5,0,0
571,1.441264239503132e-4,0,0
572,3.6501165743748574e-4,0,0
573,2.670602539539836e-4,0,0
574,6.79177344795316e-4,0,0
575,3.8387280161161296e-5,0,0
576,7.335552990327464e-5,0,0
577,1.9609987821336456e-4,0,0
578,3.733412380921925e-4,0,0
579,9.665177192376859e-4,0,0
580,9.265647778336495e-4,0,0
581,7.296138939330782e-4,0,0
582,5.497497441394266e-6,0,0
583,1.1967716891467612e-6,0,0
584,1.2530180453091589e-5,0,0
585,2.0324880420120272e-5,0,0
586,1.7054367627218858e-5,0,0
587,3.3725583343160606e-6,0,0
588,4.222020112333948e-4,0,0
589,2.832222300355224e-5,0,0
590,5.635943684386523e-5,0,0
591,3.625351394705815e-5,0,0
592,4.4905619868761594e-7,0,0
593,4.03007183551345e-5,0,0
594,7.078599545988885e-4,0,0
595,8.911331849373396e-8,0,0
596,2.440236704323824e-9,0,0
597,2.615542032559634e-4,0,0
598,8.325179839948344e-5,0,0
599,4.458787966659293e-4,0,0
600,6.518140394982723e-4,0,0
601,2.5947689629791065e-5,0,0
602,1.9066807249800766e-4,0,0
603,1.3571583204232606e-5,0,0
604,3.1202635879704267e-4,0,0
605,3.654215745349472e-5,0,0
606,2.3559332396629837e-4,0,0
607,9.603432150629072e-5,0,0
608,8.456311602382232e-4,0,0
609,8.296380964158164e-5,0,0
610,8.467929903428137e-4,0,0
611,1.1825529709748027e-7,0,0
612,1.170594455341931e-4,0,0
613,3.602482902858193e-4,0,0
614,4.948656657919629e-6,0,0
615,3.602482902858193e-4,0,0
616,6.903259581476642e-4,0,0
617,2.771307469234512e-4,0,0
618,1.7054367627218858e-5,0,0
619,7.875077583044859e-6,0,0
620,6.640123099534658e-4,0,0
621,5.752893798598098e-5,0,0
622,3.1019200807714085e-6,0,0
623,4.0089682215200514e-4,0,0
624,7.944410231860316e-5,0,0
625,1.055530849217746e-4,0,0
626,1.055530849217746e-4,0,0
627,8.284354489939163e-6,0,0
628,3.602482902858193e-4,0,0
629,8.047999845897614e-6,0,0
630,3.602482902858193e-4,0,0
631,0.002547425061249221,0,0
632,0.002570689490551856,0,0
633,4.970734876159982e-6,0,0
634,8.947640004585436e-5,0,0
635,1.3847707044736162e-4,0,0
636,3.625351394705815e-5,0,0
637,4.435127284704941e-4,0,0
638,5.201247374310927e-5,0,0
639,6.776593995300992e-4,0,0
640,8.196878730329721e-6,0,0
641,9.172996176985484e-5,0,0
642,2.749645106776768e-4,0,0
643,0.0012646109009864083,0,0
644,1.8716041421865768e-4,0,0
645,6.99356917224644e-5,0,0
646,6.776593995300992e-4,0,0
647,3.0699324440661466e-7,0,0
648,7.078599545988885e-4,0,0
649,1.8539298222605725e-5,0,0
650,1.3516390666529237e-4,0,0
651,2.5465743316291616e-4,0,0
652,0.0034902283779726074,0,0
653,1.6501312566407278e-4,0,0
654,1.965157020326372e-4,0,0
655,3.354671726470886e-6,0,0
656,9.265647778336495e-4,0,0
657,3.625351394705815e-5,0,0
658,1.0219311384317024e-4,0,0
659,3.183049727811401e-4,0,0
660,9.265647778336495e-4,0,0
661,8.325179839948344e-5,0,0
662,5.14892340002413e-4,0,0
663,0.001839532093720685,0,0
664,1.2829340358089014e-4,0,0
665,0.002205201219834823,0,0
666,3.602482902858193e-4,0,0
667,4.537446706407639e-4,0,0
668,8.947640004585436e-5,0,0
669,3.289819286406174e-5,0,0
670,1.1825529709748027e-7,0,0
671,1.1475100687304061e-5,0,0
672,7.078599545988885e-4,0,0
673,1.965157020326372e-4,0,0
674,0.002193723273112845,0,0
675,9.262637044823137e-6,0,0
676,2.0531895004177928e-5,0,0
677,4.817902336683639e-4,0,0
678,6.377542538984778e-4,0,0
679,5.951081728843781e-5,0,0
680,4.1436135267759424e-4,0,0
681,6.709537991633607e-4,0,0
682,8.3707497231876e-4,0,0
683,1.9066807249800766e-4,0,0
684,5.497497441394266e-6,0,0
685,3.0583494304277e-8,0,0
686,1.6918448273934875e-4,0,0
687,9.508575849017819e-6,0,0
688,3.733412380921925e-4,0,0
689,1.3649496567600779e-5,0,0
690,1.358357259624804e-4,0,0
691,9.822708466583084e-9,0,0
692,7.67208014513194e-6,0,0
693,8.911331849373396e-8,0,0
694,0.002350192701239003,0,0
695,2.1518118705374364e-4,0,0
696,3.3494136106378597e-4,0,0
697,8.744266911950425e-5,0,0
698,4.3759055824298506e-4,0,0
699,6.725958357790973e-6,0,0
700,8.382146906856571e-4,0,0
701,2.3621875695692605e-6,0,0
702,4.455105118173076e-5,0,0
703,1.3698823185270032e-5,0,0
704,2.8670619951592057e-4,0,0
705,4.458787966659293e-4,0,0
706,2.2055663132939448e-6,0,0
707,4.8252895542242485e-4,0,0
708,7.28439720576308e-5,0,0
709,6.776593995300992e-4,0,0
710,0.0036285260973695755,0,0
711,0.0019076176976384385,0,0
712,1.020951308557862e-4,0,0
713,1.0521656272319947e-5,0,0
714,4.878289178208975e-4,0,0
715,7.253893540415287e-5,0,0
716,1.0925537144224741e-4,0,0
717,2.6367452161218173e-5,0,0
718,0.0021937124494731232,0,0
719,0.0017209099311561742,0,0
720,5.14892340002413e-4,0,0
721,1.4389048309981377e-4,0,0
722,4.821939148572485e-6,0,0
723,1.5401760269072103e-8,0,0
724,1.1409412876906164e-4,0,0
725,0.00018625371278476239,0,0
726,9.566426115428663e-7,0,0
727,7.200897265104225e-5,0,0
728,2.1725907581308663e-5,0,0
729,3.3426441194859206e-5,0,0
730,2.0434555323814227e-5,0,0
731,1.8855004345933328e-4,0,0
732,0.002703634862779233,0,0
733,2.0296060823103e-4,0,0
734,4.7551496565361495e-5,0,0
735,4.988996317223166e-4,0,0
736,6.655524035192599e-4,0,0
737,1.5867084017098747e-9,0,0
738,2.1768101100148503e-6,0,0
739,1.4240066114710166e-4,0,0
740,1.8855004345933328e-4,0,0
741,0.0017484102982679205,0,0
742,2.2257873248330526e-4,0,0
743,5.704527395559069e-7,0,0
744,1.4389048309981377e-4,0,0
745,4.5096609837945655e-5,0,0
746,2.0522675963530648e-4,0,0
747,4.0078196738469535e-5,0,0
748,3.151673642532017e-5,0,0
749,5.759277781836076e-6,0,0
750,8.122145153090803e-4,0,0
751,6.520739291158e-7,0,0
752,0.0010794348424832162,0,0
753,0.002081934621344802,0,0
754,3.4629094567081685e-7,0,0
755,1.2525100529780866e-5,0,0
756,4.274353968596428e-5,0,0
757,2.6404614446256126e-5,0,0
758,0.004469434988163783,0,0
759,3.587959093984545e-5,0,0
760,3.285973667731574e-4,0,0
761,2.3648092116290397e-4,0,0
762,4.477647476737259e-5,0,0
763,3.60035729414576e-4,0,0
764,1.4953792452539294e-5,0,0
765,0.00400008997122117,0,0
766,4.251570823858979e-5,0,0
767,0.0014674855394929773,0,0
768,7.233500749129539e-5,0,0
769,3.6229768585007517e-4,0,0
770,2.648695283178446e-4,0,0
771,3.4692258871820683e-4,0,0
772,2.10702503347162e-4,0,0
773,1.2791411589787972e-4,0,0
774,1.431973482030385e-4,0,0
775,0.007101713064072382,0,0
776,7.505854922637025e-5,0,0
777,1.5208531431882455e-5,0,0
778,0.0026044027408493858,0,0
779,3.754898148392392e-5,0,0
780,2.0437894528187194e-5,0,0
781,0.0034662864665010278,0,0
782,0.0010057298390600887,0,0
783,1.3432169135393595e-4,0,0
784,9.740856367384608e-5,0,0
785,1.5664188190102473e-4,0,0
786,3.7403550214996375e-5,0,0
787,1.0960068877456788e-5,0,0
788,4.2005679848270184e-5,0,0
789,1.248526008947967e-5,0,0
790,4.576950328939333e-6,0,0
791,6.496757910810591e-5,0,0
792,1.471835618694552e-4,0,0
793,8.646235646983836e-4,0,0
794,5.251403330351381e-7,0,0
795,4.864478457420001e-6,0,0
796,7.623681330500665e-4,0,0
797,1.2045874854495596e-4,0,0
798,6.147857947906325e-5,0,0
799,1.4522827380438096e-4,0,0
800,2.6983836266122474e-5,0,0
801,5.317591450690551e-4,0,0
802,0.001118740896445267,0,0
803,1.6322031560825166e-4,0,0
804,3.418978133181427e-4,0,0
805,0.002789183901379073,0,0
806,2.8134282571561268e-5,0,0
807,3.166605073926736e-6,0,0
808,0.00123725951477403,0,0
809,4.953373602487422e-5,0,0
810,9.184218547323916e-5,0,0
811,6.704238167662525e-5,0,0
812,0.0024649177597659755,0,0
813,7.964291966292675e-5,0,0
814,3.2247877136777435e-4,0,0
815,2.6637659752526687e-4,0,0
816,4.123074957725822e-5,0,0
