cell,contrast,nationality_1,nationality_2,ratio,SE,df,null,t.ratio,p.value,lower.CL,upper.CL,percent_difference,ci_low_percent,ci_high_percent
Forward / Rotation 70-77,Spain / Germany,Spain,Germany,1.019250870856505,0.08375914977395381,270,1,0.23203424567387884,0.9999073682801012,0.8050865630558272,1.2903858857096648,1.9250870856504898,-19.491343694417285,29.038588570966482
Forward / Rotation 70-77,Brazil / Argentina,Brazil,Argentina,1.1457866315173002,0.08580851007330968,270,1,1.817205827988186,0.45640431282535376,0.9241628560309029,1.4205580719853799,14.57866315173002,-7.583714396909713,42.055807198537984
Forward / Rotation 70-77,Brazil / France,Brazil,France,1.0388744061315827,0.09174304877256437,270,1,0.43186280685937495,0.998079468567288,0.806268235050927,1.338586818625043,3.887440613158266,-19.373176494907295,33.85868186250429
Forward / Rotation 70-77,Brazil / England,Brazil,England,1.0983691733641878,0.10197448739762317,270,1,1.0106071518863438,0.914158207384289,0.8414258441002732,1.4337744074009686,9.836917336418782,-15.857415589972678,43.37744074009686
Forward / Rotation 70-77,Brazil / Germany,Brazil,Germany,1.077249072646655,0.08905693909356298,270,1,0.9000847115780676,0.9462271211908353,0.8496936939569608,1.3657457655286056,7.724907264665504,-15.03063060430392,36.57457655286056
Forward / Rotation 70-77,Argentina / France,Argentina,France,0.906690982033767,0.0777862772845894,270,1,-1.1417648470063848,0.8634556396956213,0.7087865259657179,1.159853505653575,-9.330901796623303,-29.12134740342821,15.985350565357503
Forward / Rotation 70-77,Argentina / England,Argentina,England,0.9586158043314572,0.08863602296364462,270,1,-0.4571031622346128,0.9974804003360369,0.7351649755528534,1.249983732730179,-4.138419566854279,-26.483502444714656,24.998373273017904
Forward / Rotation 70-77,Argentina / Germany,Argentina,Germany,0.9401829651478086,0.07690530007214408,270,1,-0.7540600911747477,0.9747372700870899,0.7434405334280243,1.1889908717758986,-5.981703485219136,-25.65594665719757,18.899087177589855
Forward / Rotation 70-77,France / England,France,England,1.05726848874268,0.10868437761269592,270,1,0.5417327946111884,0.9943791106298987,0.7871229420828751,1.4201296868952615,5.726848874267998,-21.287705791712487,42.012968689526154
Forward / Rotation 70-77,France / Germany,France,Germany,1.036938696620669,0.09717994464348834,270,1,0.3870416054485381,0.9988665915682432,0.792370167837622,1.3569943748433972,3.6938696620669065,-20.762983216237796,35.699437484339725
Forward / Rotation 70-77,England / Germany,England,Germany,0.9807714007005093,0.09740508754384648,270,1,-0.19549834419830847,0.9999603228949312,0.7375072309763478,1.3042754023694283,-1.9228599299490723,-26.249276902365214,30.42754023694283
